主要频道,#genre#
cctv1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
cctv2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
cctv3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
cctv4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
cctv5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
cctv5plus,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
cctv6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
cctv7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
cctv8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
cctvjilu,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
cctv10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
cctv11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
cctv12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
cctv13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
cctvchild,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
cctv15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
cctv16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
cctv17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
anhui,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
bingtuan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
btv1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
btvchild,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
btvjishi,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
cetv1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
cetv2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
cetv3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
cetv4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
chongqing,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
dongfang,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
dongnan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
gansu,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
guangdong,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
guangxi,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
guizhou,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
hebei,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
heilongjiang,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
henan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
hubei,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
hunan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
jiangsu,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
jiangxi,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
jilin,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
liaoning,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
neimenggu,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
ningxia,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
qinghai,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
sdetv,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
shandong,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
shan1xi,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
shan3xi,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
shenzhen,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
sichuan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
tianjin,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
travel,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
xiamen,http://ott.mobaibox.com/PLTV/3/224/3221226996/index.m3u8
xinjiang,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
xizang,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
yanbian,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
yunnan,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
zhejiang,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8

动漫频道,#genre#
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
